dimension,metric,MPNet_MRL,Nomic_MRL,mxbai_MRL
64,WEAT |ES|,0.6068488955497742,0.4703042209148407,1.0625
64,C(d) gender,0.13225050270557404,0.16412070393562317,0.07861328125
64,StereoSet SS,0.37274453941120606,0.36752136752136755,0.3717948717948718
64,CrowS CMS,46.81344148319815,50.05793742757822,47.27694090382387
128,WEAT |ES|,0.1508496254682541,0.2134173959493637,0.94873046875
128,C(d) gender,0.20685511827468872,0.2483045905828476,0.1376953125
128,StereoSet SS,0.3789173789173789,0.36657169990503324,0.34472934472934474
128,CrowS CMS,46.69756662804171,45.77056778679027,45.77056778679027
256,WEAT |ES|,0.22291912138462067,0.7884163856506348,0.84814453125
256,C(d) gender,0.36210739612579346,0.38889414072036743,0.2646484375
256,StereoSet SS,0.3969610636277303,0.3694207027540361,0.3238366571699905
256,CrowS CMS,45.538818076477405,45.07531865585168,44.61181923522596
512,WEAT |ES|,0.40532445907592773,0.5967702269554138,0.68310546875
512,C(d) gender,0.7161771655082703,0.6605784296989441,0.5205078125
512,StereoSet SS,0.4083570750237417,0.38746438746438744,0.3157644824311491
512,CrowS CMS,45.19119351100811,45.07531865585168,40.78794901506373
1024,WEAT |ES|,0.5759146213531494,0.3872978985309601,0.55859375
1024,C(d) gender,1.0,1.0,1.0
1024,StereoSet SS,0.4083570750237417,0.3741690408357075,0.32051282051282054
1024,CrowS CMS,44.727694090382386,46.00231749710313,40.20857473928158
1024,WEAT |ES|,,,0.55859375
1024,C(d) gender,,,1.0
1024,StereoSet SS,,,0.32051282051282054
1024,CrowS CMS,,,40.20857473928158
